id,count,image_path,density_class,label
8,36,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000008.jpg,High,0
1318,27,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001318.jpg,Low,1
66,27,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000066.jpg,Low,1
443,17,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000443.jpg,Very Low,4
87,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000087.jpg,Medium,2
1024,30,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001024.jpg,Medium,2
621,29,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000621.jpg,Low,1
268,23,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000268.jpg,Very Low,4
950,33,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000950.jpg,Medium,2
1433,35,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001433.jpg,High,0
174,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000174.jpg,Medium,2
987,45,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000987.jpg,Very High,3
585,20,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000585.jpg,Very Low,4
630,23,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000630.jpg,Very Low,4
738,36,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000738.jpg,High,0
591,26,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000591.jpg,Low,1
1778,29,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001778.jpg,Low,1
444,16,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000444.jpg,Very Low,4
493,23,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000493.jpg,Very Low,4
945,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000945.jpg,Medium,2
1098,33,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001098.jpg,Medium,2
234,34,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000234.jpg,High,0
497,24,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000497.jpg,Very Low,4
412,41,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000412.jpg,Very High,3
702,32,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000702.jpg,Medium,2
432,29,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000432.jpg,Low,1
1195,32,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001195.jpg,Medium,2
978,37,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000978.jpg,High,0
775,34,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000775.jpg,High,0
490,23,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000490.jpg,Very Low,4
542,16,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000542.jpg,Very Low,4
942,25,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000942.jpg,Very Low,4
1879,40,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001879.jpg,Very High,3
410,37,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000410.jpg,High,0
1840,39,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001840.jpg,Very High,3
483,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000483.jpg,Medium,2
1445,30,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001445.jpg,Medium,2
728,46,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000728.jpg,Very High,3
1354,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001354.jpg,Medium,2
1949,24,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001949.jpg,Very Low,4
1732,44,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001732.jpg,Very High,3
1697,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001697.jpg,Medium,2
1366,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001366.jpg,Medium,2
121,34,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000121.jpg,High,0
756,45,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000756.jpg,Very High,3
1671,25,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001671.jpg,Very Low,4
1010,38,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001010.jpg,Very High,3
676,22,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000676.jpg,Very Low,4
1763,27,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001763.jpg,Low,1
808,26,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000808.jpg,Low,1
1817,32,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001817.jpg,Medium,2
285,29,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000285.jpg,Low,1
1122,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001122.jpg,Medium,2
1285,26,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001285.jpg,Low,1
475,18,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000475.jpg,Very Low,4
1381,32,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001381.jpg,Medium,2
813,28,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000813.jpg,Low,1
328,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000328.jpg,Medium,2
666,20,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000666.jpg,Very Low,4
1613,47,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001613.jpg,Very High,3
1617,38,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001617.jpg,Very High,3
715,45,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000715.jpg,Very High,3
1212,38,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001212.jpg,Very High,3
1893,26,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001893.jpg,Low,1
301,41,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000301.jpg,Very High,3
1712,40,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001712.jpg,Very High,3
1666,28,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001666.jpg,Low,1
472,14,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000472.jpg,Very Low,4
1091,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001091.jpg,Medium,2
246,36,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000246.jpg,High,0
637,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000637.jpg,Medium,2
1833,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001833.jpg,Medium,2
866,21,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000866.jpg,Very Low,4
1349,40,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001349.jpg,Very High,3
1255,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001255.jpg,Medium,2
1662,34,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001662.jpg,High,0
758,48,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000758.jpg,Very High,3
1160,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001160.jpg,Medium,2
1491,28,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001491.jpg,Low,1
1990,26,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001990.jpg,Low,1
522,25,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000522.jpg,Very Low,4
314,32,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000314.jpg,Medium,2
1661,38,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001661.jpg,Very High,3
1147,40,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001147.jpg,Very High,3
105,20,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000105.jpg,Very Low,4
708,42,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000708.jpg,Very High,3
1770,20,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001770.jpg,Very Low,4
1742,36,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001742.jpg,High,0
1236,34,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001236.jpg,High,0
1640,34,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001640.jpg,High,0
1601,34,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001601.jpg,High,0
273,37,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000273.jpg,High,0
951,32,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000951.jpg,Medium,2
129,34,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000129.jpg,High,0
1857,33,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001857.jpg,Medium,2
295,30,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000295.jpg,Medium,2
1544,37,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001544.jpg,High,0
1,35,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000001.jpg,High,0
1300,29,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001300.jpg,Low,1
822,34,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000822.jpg,High,0
938,31,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000938.jpg,Medium,2
930,42,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000930.jpg,Very High,3
1256,32,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001256.jpg,Medium,2
1153,32,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001153.jpg,Medium,2
1532,27,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001532.jpg,Low,1
1620,42,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001620.jpg,Very High,3
1352,28,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001352.jpg,Low,1
1536,35,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001536.jpg,High,0
658,13,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000658.jpg,Very Low,4
1968,28,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001968.jpg,Low,1
575,24,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000575.jpg,Very Low,4
1632,27,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001632.jpg,Low,1
122,33,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000122.jpg,Medium,2
1761,23,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001761.jpg,Very Low,4
581,23,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000581.jpg,Very Low,4
958,33,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000958.jpg,Medium,2
1252,28,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001252.jpg,Low,1
1364,29,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001364.jpg,Low,1
976,32,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000976.jpg,Medium,2
1672,26,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_001672.jpg,Low,1
360,28,/kaggle/input/datasets/fmena14/crowd-counting/frames/frames/seq_000360.jpg,Low,1
